authors,title,series,tags,pubdate,publisher,isbn,identifiers
"Terttu Nevalainen & Helena Raumolin-Brunberg","Historical Sociolinguistics: Language Change in Tudor and Stuart England","","Linguistics, English History","2017-10-15T17:31:20+11:00","Routledge","9781138951303","isbn:9781138951303,goodreads:26537916,amazon:1138951307,google:k3oQswEACAAJ"
"M. Patrick Graham","The Chronicler as Theologian","","Bible, Old Testament (OT), Exegesis, Biblical History, Essays","1996-03-01T19:00:00+11:00","T & T Clark International","9781281802415","amazon:1281802417,goodreads:16886241,isbn:9781281802415"
"Robert P. Carroll","Text as Pretext: Essays in Honour of Robert Davidson","","Essays, Exegesis, Old Testament (OT), Literary Criticism","2009-02-02T11:00:00+11:00","Sheffield Academic Press","9780567437761","amazon:0567437760,isbn:9780567437761,goodreads:16886392"
"Phillip Tovey","The Theory and Practice of Extended Communion","","Christian Ministry, Pastoral Resources, Theology, Social Science, Sociology of Religion, Bible","2009-10-15T17:50:23+11:00","Ashgate Publishing, Ltd.","9780754666844","google:WwCfoAmmmRkC,goodreads:16916136,isbn:9780754666844,amazon:B01C677DRW"
"Anwar Tjen","On Conditionals in the Greek Pentateuch: A Study of Translation Syntax","","Grammar & Punctuation, Bible, Linguistics, Language, Old Testament (OT), Septuagint (LXX)","2010-07-29T11:00:00+11:00","A&C Black","9780567575463","goodreads:16975648,amazon:0567575462,isbn:9780567575463,google:nl3f1KdPPW8C"
"Wendy Olmsted","Rhetoric: An Historical Introduction","","Rhetoric, Linguistics, Language","2006-07-11T17:43:51+11:00","Wiley","9781405117722","google:N0nVDBgW8ykC,isbn:9781405117722"
"Matthew Levering","Scripture and Metaphysics: Aquinas and the Renewal of Trinitarian Theology","","Ethics, Bible, Theology","2004-05-21T11:00:00+11:00","Wiley","9781405117340","isbn:9781405117340,google:SsOjQgAACAAJ,amazon:1405117346,goodreads:1147562"
"Richard Kraut","The Blackwell Guide to Aristotle's Nicomachean Ethics","","Philosophy, Ethics","2006-01-30T17:35:15+11:00","Wiley","9781405120203","amazon:B001J54VC8,isbn:9781405120203,google:yvNlAzsOaWQC"
"William D. Maxwell","An Outline of Christian Worship Its Development and Forms","","Theology, Liturgy, Worship Music, Bible","2007-03-15T11:00:00+11:00","Read Books","9781406743135","google:gtbcngEACAAJ,amazon:1406743135,isbn:9781406743135"
"G. K. Chesterton","The New Jerusalem","","Christian","0101-01-01T11:00:00+11:00","Barnes & Noble","9781411463868","goodreads:16601690,amazon:1411463862,isbn:9781411463868"
"Andreas J. Köstenberger & Justin Taylor & Alexander Stewart","The Final Days of Jesus: The Most Important Week of the Most Important Person Who Ever Lived","","New Testament (NT), Bible, Theology, New Testament commentary, Gospel","2014-10-15T18:04:58+11:00","Crossway","9781433535109","isbn:9781433535109,google:bDbEnAEACAAJ,amazon:1433535106"
"John MacArthur & R. C. Sproul & Alistair Begg & Mark Dever & Kevin Deyoung & Sinclair B. Ferguson & Michael J. Kruger & R. Albert Mohler Jr. & Stephen J. Nichols & Carl R. Trueman & William Barrick & Greg Beale & Nathan Busenitz & Abner Chou & Ligon Duncan & John M. Frame & Ian Hamilton & Brad Klassen & Steven J. Lawson & Iain Murray & Miguel Núñez & Derek Thomas & Michael Vlach & Matt Waymeyer","The Inerrant Word: Biblical, Historical, Theological, and Pastoral Perspectives","","Bible, Theology, Essays","2016-03-30T11:00:00+11:00","Crossway","9781433548611","amazon:1504791975,goodreads:26449915,isbn:9781433548611,google:tkSRrgEACAAJ"
"Darrell L. Bock","Acts (Baker Exegetical Commentary on the New Testament)","","Bible, New Testament commentary, New Testament (NT)","2007-10-01T17:53:38+11:00","Baker Books","9781441200266","isbn:9781441200266,mobi-asin:B009XE64G8,google:33FgJsqgytsC,goodreads:17919024"
"Moisés Silva","Philippians (Baker Exegetical Commentary on the New Testament)","","New Testament (NT), New Testament commentary, Bible, Paul, Epistle","2005-03-01T17:54:09+11:00","Baker Academic","9781441202475","goodreads:20726905,isbn:9781441202475,google:qMO4AgAAQBAJ,mobi-asin:B00I12LN7I"
"Gene Green","Jude and 2 Peter (Baker Exegetical Commentary on the New Testament)","","Bible, New Testament commentary, New Testament (NT)","2008-11-01T17:53:52+11:00","Baker Academic","9781441210722","isbn:9781441210722,google:5Qv2AAAAQBAJ,mobi-asin:B004EWG4A0,goodreads:18615313"
"David R. Bauer & Robert A. Traina","Inductive Bible Study: A Comprehensive Guide to the Practice of Hermeneutics","","Bible, Exegesis, Hermeneutics","2011-04-01T17:54:56+11:00","Baker Academic","9781441214515","isbn:9781441214515,google:OzgfdD1AARsC"
"Matthew Levering","The Theology of Augustine: An Introductory Guide to His Most Important Works","","Church History, Bible, Theology","2013-03-15T17:55:12+11:00","Baker Books","9781441240453","google:Iqy3vcVmV-cC,mobi-asin:B00ARGXJQO,isbn:9781441240453"
"H. A. G. Houghton","Liturgy and the Living Text of the New Testament: Papers From the Tenth Birmingham Colloquium on the Textual Criticism of the New Testament","","Bible, New Testament (NT), Gospel","2018-10-15T17:17:58+11:00","Gorgias Press","9781463207489","isbn:9781463207489,google:xWNduQEACAAJ"
"G. Walter Hansen","The Letter to the Philippians","","Bible, Epistle, Exegesis, New Testament (NT), New Testament commentary, Paul, Phillipians, Gospel","2009-10-15T11:00:00+11:00","Wm. B. Eerdmans Publishing","9781467409728","guid:ea111fb9df52a693761a2493543ccb6a61483ea,oasin:0802837379,isbn:9781467409728,goodreads:19383541,amazon:B004JLNJWC,asin:B004JLNJWC"
"Michael F. Bird","Jesus the Eternal Son: Answering Adoptionist Christology","","New Testament (NT), Theology, Bible, Paul, Epistle, Gospel","2017-07-13T11:00:00+11:00","Wm. B. Eerdmans Publishing","9780802875068","goodreads:33673846,isbn:9780802875068,amazon:0802875068,google:uixbDwAAQBAJ"
"Marion L. Soards & Joel Marcus","Apocalyptic and the New Testament: Essays in Honor of J. Louis Martyn","","Apocalyptic Literature, Bible, New Testament (NT), Eschatology","2015-01-29T11:00:00+11:00","Bloomsbury Academic","9781474231497","amazon:1474231497,isbn:9781474231497,google:D82FBwAAQBAJ"
"Matthew W. Bates","The Hermeneutics of the Apostolic Proclamation: The Center of Paul's Method of Scriptural Interpretation","","Bible, Hermeneutics, Exegesis","2019-04-15T17:55:53+11:00","Baylor University Press","9781481311441","goodreads:45007448,isbn:9781481311441,amazon:1481311441,google:YPCEwwEACAAJ"
"Margaret Aymer & Cynthia Briggs Kittredge & David Arthur Sánchez","The Gospels and Acts: Fortress Commentary on the Bible Study Edition","","New Testament (NT), New Testament commentary, Bible, Biblical Reference, Gospel","2016-09-15T18:14:52+11:00","1517 Media","9781506415895","amazon:150641589X,google:bKuhjwEACAAJ,goodreads:29527678,isbn:9781506415895"
"Margaret Aymer & Cynthia Briggs Kittredge & David Arthur Sánchez","The Letters and Legacy of Paul: Fortress Commentary on the Bible Study Edition","","Bible, Epistle, Exegesis, Historical Criticism, New Testament (NT), New Testament commentary, Paul","2016-09-15T18:15:23+11:00","1517 Media","9781506415918","google:fbacjwEACAAJ,goodreads:29527679,amazon:1506415911,isbn:9781506415918"
"Margaret P. Aymer & Cynthia Briggs Kittredge & David Arthur Sánchez","Hebrews General Epistles and Revelation: Fortress Commentary on the Bible Study Edition","","New Testament (NT), New Testament commentary, Bible","2016-09-15T18:15:55+11:00","1517 Media","9781506415932","goodreads:29527680,amazon:1506415938,isbn:9781506415932,google:7XuojwEACAAJ"
"Henry M. Morris","The Genesis Record: A Scientific and Devotional Commentary on the Book of Beginnings","","Bible, Old Testament (OT), Genesis, Old Testament Commentary","2009-12-16T17:54:46+11:00","Baker Books","9781585580415","9781585580415:9781585580415,google:9qzFNSp9UwoC,isbn:9781585580415"
"Chaim Cohen & Victor Avigdor Hurowitz & Avi M. Hurvitz & Yochanan Muffs & Baruch J. Schwartz & Jeffrey H. Tigay","Birkat Shalom: Studies in the Bible, Ancient Near Eastern Literature, and Postbiblical Judaism Presented to Shalom M. Paul on the Occasion of His Seventieth Birthday","","Biblical Hebrew, Ancient, Bible, Ancient Near East, ANE","2008-06-23T18:27:12+11:00","Penn State Press","9781575065908","isbn:9781575065908,google:j-YfEAAAQBAJ"
"N. J. C. Kouwenberg","The Akkadian Verb and Its Semitic Background","","Semitic Languages, ANE","2010-10-15T17:16:09+11:00","Eisenbrauns","9781575061931","amazon:1575061937,goodreads:12209073,isbn:9781575061931,google:2S14QwAACAAJ"
"Jean-Louis Ska & Jean Louis Ska","Introduction to Reading the Pentateuch","","Bible","2006-01-02T11:00:00+11:00","Eisenbrauns","9781575061221","google:7cdy67ZvzdkC,amazon:1575061228,isbn:9781575061221,goodreads:1775116"
"Charles B. Cousar","Reading Galatians, Philippians, and 1 Thessalonians: A Literary and Theological Commentary","","Bible, New Testament (NT), Exegesis, New Testament commentary, Theology, Paul, Epistle, Gospel","2001-10-15T18:37:40+11:00","Smyth & Helwys Pub.","9781573123235","amazon:1573123234,google:Evk8vgAACAAJ,isbn:9781573123235,goodreads:2674224"
"Sharyn Echols Dowd","Reading Mark: A Literary and Theological Commentary on the Second Gospel","","Gospel of Mark, New Testament (NT), New Testament commentary, Theological Commentary, Literary Commentary, Bible, Theology, Gospel","2000-10-15T18:37:28+11:00","Smyth & Helwys Publishing, Inc.","9781573122887","goodreads:3242504,google:9lp0PE7aZusC,amazon:1573122882,isbn:9781573122887"
"Charles H. Talbert","Reading John: A Literary and Theological Commentary on the Fourth Gospel and Johannine Epistles","","New Testament (NT), Gospel of John, Literary Criticism, New Testament Theology, New Testament commentary, Gospel, Bible","1994-10-15T18:37:06+11:00","Smyth & Helwys Publishing, Inc.","9781573122788","amazon:1573122785,goodreads:1822204,isbn:9781573122788,google:VM9ffKseVYgC"
"Charles H. Talbert","Reading Acts: A Literary and Theological Commentary","","Bible, New Testament (NT), Exegesis, New Testament commentary","2005-10-15T18:37:16+11:00","Smyth & Helwys Publishing, Inc.","9781573122771","amazon:1573122777,google:nHzAXTKWqswC,isbn:9781573122771,goodreads:6791701"
"David E. Garland","Reading Matthew: A Literary & Theological Commentary on the First Gospel","","New Testament (NT), Bible, Gospel, Gospel of Matthew, Theology, New Testament commentary, Jesus","2014-05-14T18:37:55+11:00","Society for Promoting Christian Knowledge","9781573126533","amazon:1573122742,isbn:9781573126533,google:QInaoQEACAAJ,goodreads:148174"
"Margaret S. Odell","Ezekiel: Smyth & Helwys Bible Commentary","","Bible, Old Testament (OT), Old Testament Commentary","2005-12-01T19:00:00+11:00","Smyth & Helwys Publishing","9781573120739","isbn:9781573120739,google:CfvAAAAACAAJ,goodreads:471777,amazon:1573120731"
"Jacob Neusner","Jerusalem and Athens Exegesis: The Congruity of Talmudic and Classical Philosophy","","Judaism, Talmud, Hellenism","1997-10-15T18:01:11+11:00","BRILL","9789004106987","isbn:9789004106987,google:U5UD1uxjeLUC,goodreads:1915763,amazon:9004106987"
"Sara Dicerto","Multimodal Pragmatics and Translation: A New Model for Source Text Analysis","","Translating & Interpreting, Linguistics, Pragmatics, Literary Criticism, Semantics, Natural Language Processing, Language, Semiotics","2017-12-14T18:25:54+11:00","Springer International Publishing","9783319693439","goodreads:50262728,amazon:3319693433,google:1VlrswEACAAJ,isbn:9783319693439"
"Salvatore Pistoia-Reda & Filippo Domaneschi","Linguistic and Psycholinguistic Approaches on Implicatures and Presuppositions","","Linguistics, Philosophy, Reference, Semantics, Pragmatics, Psycholinguistics, Language","2017-05-12T18:26:00+11:00","Springer International Publishing","9783319506951","isbn:9783319506951,google:tX5pvgAACAAJ,goodreads:32903282,amazon:3319506951"
"Kristin de Troyer & Barbara Schmitz","The Early Reception of the Book of Isaiah","","Bible, Old Testament (OT), Septuagint (LXX), Biblical Hebrew, Isaiah","2019-10-15T18:07:49+11:00","de Gruyter","9783110597912","goodreads:73708888,isbn:9783110597912,google:-7MltAEACAAJ"
"Michael F. Bird & Jason Maston","Earliest Christian History: History, Literature, and Theology. Essays From the Tyndale Fellowship in Honor of Martin Hengel","","Church History, Early Church History, Early Church Fathers, New Testament (NT), Theology, Bible, Gospel","2012-10-15T17:19:54+11:00","Mohr Siebeck","9783161517433","amazon:3161517431,goodreads:20610435,google:SKkLuwAACAAJ,isbn:9783161517433"
"David Edward Aune & Reidar Hvalvik","The Church and Its Mission in the New Testament and Early Christianity: Essays in Memory of Hans Kvalbein","","Church History, Early Church History, Early Church Fathers, New Testament (NT), Paul, Epistle, Gospel","2018-10-15T17:19:03+11:00","Mohr Siebeck","9783161559099","google:3rDcswEACAAJ,amazon:3161559096,goodreads:49085237,isbn:9783161559099"
"Stephen B. Chapman","The Law and the Prophets: A Study in Old Testament Canon Formation","","Bible, Old Testament (OT), Theology","2020-10-15T16:30:53+11:00","Baker Academic, a division of Baker Publishing Group","9783161578205","google:swV2zwEACAAJ,isbn:9783161578205"
"Christopher R. Seitz","Essays on Prophecy and Canon: The Rise of a New Model for Interpretation","","Canonical Criticism, Prophecy, Old Testament (OT), Essays","2021-10-13T17:20:57+11:00","Mohr Siebeck","9783161608438","isbn:9783161608438,google:BKxHEAAAQBAJ"
"John J. Collins & Adela Yarbro Collins & Pieter G. R. Villiers","Apocalypticism and Mysticism in Ancient Judaism and Early Christianity","","Bible, Apocalyptic Literature, Ancient Israel, Early Church History, New Testament (NT), Paul, Epistle","2018-10-15T17:42:27+11:00","de Gruyter","9783110591835","amazon:3110591839,isbn:9783110591835,goodreads:39660340,google:NdnwswEACAAJ"
"Louise Nyholm Kallestrup & Raisa Maria Toivo","Contesting Orthodoxy in Medieval and Early Modern Europe: Heresy, Magic and Witchcraft","","History, Europe, Medieval, Social History","2017-02-13T18:25:48+11:00","Springer International Publishing","9783319323848","amazon:3319323849,goodreads:29520667,isbn:9783319323848,google:PXOIjwEACAAJ"
"Nicholas P. L. Allen","Turmoil, Trauma and Tenacity in Early Jewish Literature","","Bible, Second Temple Judaism","2022-10-15T18:06:15+11:00","de Gruyter","9783110784893","isbn:9783110784893,google:rK0EzwEACAAJ,amazon:3110784890,goodreads:62993931"
"Géza G. Xeravits","Take Courage, O Jerusalem: Studies in the Psalms of Baruch 4-5","","Bible, Old Testament (OT), Septuagint (LXX), Torah, Psalms, Wisdom Literature","2015-10-15T18:07:18+11:00","de Gruyter","9783110411256","goodreads:26361042,isbn:9783110411256,amazon:3110411253,google:SygjrgEACAAJ"
"Sean A. Adams","Studies on Baruch: Composition, Literary Relations, and Reception","","Old Testament (OT), Jeremiah, Literary Criticism, Reception History, Bible","2016-10-15T18:06:45+11:00","de Gruyter","9783110362947","isbn:9783110362947,goodreads:28216071,amazon:3110362945,google:o2gYjwEACAAJ"
"Francis M. Macatangay","The Wisdom Instructions in the Book of Tobit","","Apocrypha, Bible, Wisdom Literature","2011-03-17T11:00:00+11:00","de Gruyter","9783110255348","goodreads:14675013,google:uC3PBu8WYlQC,amazon:3110255340,isbn:9783110255348"
"Stefan Kaufmann & David Over & Ghanshyam Sharma","Conditionals: Logic, Linguistics and Psychology","","Linguistics, Logic, Morphology, Philosophy, Pragmatics, Psychology, Semantics, Syntax","2023-04-30T18:25:42+11:00","Springer International Publishing","9783031056819","amazon:B0BS5T1HZG,isbn:9783031056819,google:LH4CzwEACAAJ,goodreads:64387934"
"Chi-Hé Elder","Context, Cognition and Conditionals","","Linguistics, Pragmatics, Semantics, Philosophy, Reference, Language, Psycholinguistics","2019-07-08T18:26:06+11:00","Springer International Publishing","9783030137984","isbn:9783030137984,goodreads:58483214,amazon:3030137988,google:5PY2wQEACAAJ"
"Michael D. Bailey & Sean L. Field","Late Medieval Heresy: New Perspectives: Studies in Honor of Robert E. Lerner","","History, Europe, Medieval","2018-10-15T17:23:24+11:00","York Medieval Press","9781903153826","google:zmRGswEACAAJ,isbn:9781903153826,goodreads:75547524"
"Reima Välimäki","Heresy in Late Medieval Germany: The Inquisitor Petrus Zwicker and the Waldensians","Heresy and Inquisition in the Middle Ages","History, Europe, Medieval","2019-10-15T18:57:05+11:00","York Medieval Press","9781903153864","google:gfw7uQEACAAJ,isbn:9781903153864,amazon:1903153867,goodreads:41005978"
"Morna D. Hooker","Paul: A Beginner's Guide","","Bible, New Testament (NT), Theology, Paul, Epistle","2008-02-28T17:43:32+11:00","Oneworld Publications","9781851685646","isbn:9781851685646,google:7R_SGQAACAAJ"
